2022-03-15 19:01:34.124 | INFO     | __main__:train:374 - Epoch-60, dowel | all: 0.96820, 0.99527 | 2: 0.68343, 0.98494| 3: 0.93269, 0.99200 | 4: 0.83765, 0.95573
2022-03-15 19:06:48.762 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_2.pth
2022-03-15 19:06:48.780 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_3.pth
2022-03-15 19:06:48.808 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_4.pth
2022-03-15 19:07:06.166 | INFO     | __main__:train:374 - Epoch-80, dowel | all: 0.98780, 0.99641 | 2: 0.81879, 0.98806| 3: 0.95044, 0.99394 | 4: 0.79586, 0.90108
2022-03-15 19:12:05.088 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_2.pth
2022-03-15 19:12:05.106 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_3.pth
2022-03-15 19:12:05.130 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_4.pth
2022-03-15 19:14:20.999 | INFO     | __main__:<module>:731 - dowel, add, image auc: 0.98003, pixel auc: 0.99679, pixel pro0.3: 0.98555
2022-03-15 19:14:21.001 | INFO     | __main__:<module>:733 - dowel, time: 0.01835s, FPS: 54.49346.
2022-03-15 19:14:21.655 | INFO     | __main__:__init__:253 - resnet34-resnet50-[64, 128, 256]-[256, 512, 1024]-[200, 400, 800]
2022-03-15 19:14:21.658 | INFO     | __main__:register:282 - Projector2: 64, 64, in_dim=64, out_dim=256, latent_dim=200, dual_type=small, pe_required=False
2022-03-15 19:14:21.674 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 19:14:21.682 | INFO     | __main__:register:287 - Projector2: 32, 32, in_dim=128, out_dim=512, latent_dim=400, dual_type=small, pe_required=False
2022-03-15 19:14:21.683 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 19:14:21.704 | INFO     | __main__:register:291 - Projector2: 16, 16, in_dim=256, out_dim=1024, latent_dim=800, dual_type=small, pe_required=False
2022-03-15 19:14:21.705 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 19:14:46.596 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/peach_2.pth
2022-03-15 19:14:46.613 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/peach_3.pth
2022-03-15 19:14:46.636 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/peach_4.pth
